THERMAL ZONE: P1-6-COMMERCE 1-Cooling,THERMAL ZONE: HALL-1-7-Cooling,THERMAL ZONE: HALL-1-6-Cooling,,timestep
25.510534,23.536005,25.535389,,466
24.878592,24.715765,22.578901,,467
23.375685,23.542578,23.127207,,468
25.920752,25.075779,25.577,,469
25.22625,25.533255,25.835524,,470
25.60195,22.874502,22.358643,,471
25.772058,24.298847,23.826155,,472
23.01214,23.050688,22.360327,,473
25.915218,25.169666,25.389048,,474
25.14379,24.196632,24.180891,,475
25.787739,24.52949,23.86206,,476
25.791931,22.817352,25.645494,,477
25.688883,22.578276,24.132744,,478
22.391787,25.434658,23.598328,,479
24.29741,22.658297,25.650623,,480
23.31776,23.433191,25.363087,,481
23.14447,24.017864,24.5666,,482
22.422009,25.627104,25.547031,,483
23.430038,25.441479,24.169302,,484
25.541254,23.593834,25.579142,,485
22.802092,25.295902,24.634098,,486
23.49115,24.794193,22.526306,,487
24.348783,24.551558,23.577272,,488
25.87494,24.300936,25.573048,,489
23.086058,23.658777,25.285181,,490
24.527199,23.91863,24.337635,,491
22.567293,22.553759,23.798225,,492
22.27308,25.03379,23.608583,,493
22.264256,23.701275,24.79108,,494
22.242725,24.189846,23.75377,,495
22.240486,22.570833,25.517433,,496
25.712288,23.959433,23.149471,,497
23.395985,22.781618,22.517118,,498
23.766682,23.976904,25.007685,,499
24.337912,22.635815,23.134163,,500
25.578571,22.418362,22.41734,,501
24.449226,22.898834,25.297346,,502
22.769848,22.991058,22.751827,,503
24.956608,24.003233,24.750063,,504
22.29506,25.234455,23.781546,,505
22.51951,24.817635,24.81466,,506
24.365566,22.522606,23.240255,,507
24.317236,23.03157,23.444542,,508
25.147697,24.467335,25.666458,,509
24.193073,23.493698,24.269829,,510
25.658152,23.064777,25.064554,,511
22.425892,24.1096,23.8635,,512
22.350552,22.659475,25.391823,,513
23.216722,24.66013,25.554605,,514
25.835184,23.582304,25.615826,,515
25.658165,23.74694,22.44185,,516
24.372736,22.961378,24.254887,,517
24.099333,25.360376,22.693037,,518
25.0831,22.78374,23.911713,,519
24.700161,25.618042,25.610329,,520
25.068481,24.250109,23.376883,,521
24.378662,25.585955,23.920341,,522
23.153389,22.476585,25.458538,,523
23.901518,22.57642,25.484837,,524
24.281563,22.519405,22.573544,,525
22.045443,22.373585,22.39894,,526
25.079443,25.00401,22.690905,,527
25.775646,25.512732,22.673275,,528
25.762463,22.514128,25.447739,,529
23.435513,23.588192,25.227423,,530
25.6657,22.669706,23.647202,,531
22.09353,22.337189,23.252825,,532
22.725035,24.995924,24.743252,,533
23.494303,23.60196,24.474762,,534
22.16029,23.675474,23.049448,,535
24.474771,25.297552,23.250748,,536
23.534046,23.963675,22.370316,,537
25.516306,25.388136,25.261347,,538
23.812067,23.968605,25.573244,,539
25.909283,24.947721,25.510096,,540
22.105202,22.16864,22.23975,,541
23.768696,24.000446,25.232468,,542
25.760761,23.765562,24.167393,,543
22.350613,22.711452,22.238956,,544
22.167648,22.364412,22.212463,,545
25.089338,24.797003,22.590687,,546
23.983616,25.522429,25.660528,,547
22.267368,23.066118,25.47914,,548
24.674685,23.628164,23.079775,,549
25.380894,23.24889,23.805376,,550
23.21603,24.214731,22.57888,,551
23.34589,23.588825,22.352383,,552
23.565586,22.505081,23.9275,,553
22.038738,22.341381,22.317177,,554
24.441763,22.774431,24.211275,,555
24.210579,25.004627,25.526642,,556
22.967234,24.001743,23.34412,,557
24.777876,22.717354,25.541817,,558
23.035585,23.935217,22.343924,,559
22.771004,23.454037,23.919739,,560
22.70319,24.004293,22.608051,,561
22.786154,22.351736,22.756565,,562
25.093464,24.231518,24.291927,,563
23.624996,22.53778,22.234558,,564
25.139217,25.083927,24.209332,,565
22.114328,23.642601,22.300991,,566
25.851795,25.452854,24.027655,,567
22.567572,22.446722,25.41436,,568
24.779863,24.837149,24.669405,,569
22.220104,25.439445,22.302341,,570
23.172602,24.542498,23.948956,,571
25.31671,23.943329,22.663757,,572
25.602962,22.855803,22.394554,,573
22.455833,23.616693,23.784695,,574
22.104786,22.433043,23.348309,,575
22.1221,22.425783,23.649944,,576
24.807941,24.220274,25.149277,,577
25.95478,25.675558,25.555698,,578
22.295761,25.130087,23.897835,,579
23.897133,24.18928,23.219145,,580
23.562696,23.878704,24.721695,,581
22.528881,25.549633,23.708258,,582
23.736717,23.68513,24.202003,,583
23.575615,23.649889,25.563507,,584
25.732077,22.6064,24.838894,,585
24.027962,23.301594,24.868347,,586
